id,question,answer_type,capability_tags,gold_sql,eval_note,expected_values,tolerance,notes
Q1,How many patties got 86'd on 2025-10-30?,expected_values,slang,,,"{""nums"": [6]}",,
Q2,How many tickets are currently short order and not yet closed?,expected_values,slang,,,"{""nums"": [1]}",,
Q3,"How many patties are currently on the griddle, company-wide?",expected_values,slang,,,"{""nums"": [57]}",,
Q4,How many heat lamp tests have a garnish problem logged?,expected_values,slang,,,"{""nums"": [14]}",,
Q5,Which sites currently have a line that's WARM?,expected_values,slang;join1,,,"{""names"": [""Shugart Yard"", ""Scotts Valley West"", ""Reef Hollow""], ""absent"": [""Tigerline Point""]}",,
Q6,How many patties has the Tigerline region plated in total?,expected_values,slang;xschema2,,,"{""nums"": [9386]}",,
Q7,"How many To-Go units has the Reef region shipped, in total?",expected_values,slang;xschema2,,,"{""nums"": [2979]}",,
Q8,"How many patties were plated between 2025-12-25 and 2025-12-31, broken down by drive family?",expected_values,slang;xschema2,,,"{""nums"": [193, 106, 40]}",,
Q9,What was the Golden Yield for the Cobalt drive family in December 2025?,expected_values,metric;xschema2,,,"{""nums"": [0.961]}",,
Q10,What is the True Pass Rate for Plate Spin tests at Tigerline Point?,expected_values,metric;xschema2,,,"{""nums"": [0.935]}",,
Q11,How many patties were plated during the Moonlight shift in the Diner Week of 2025-12-17 to 2025-12-23?,expected_values,slang;temporal,,,"{""nums"": [145]}",,
Q12,What is the Golden Yield for Short Order tickets at Scotts Valley West?,expected_values,trap,,,"{""trap"": true}",,
Q13,"For Q4 2025 (2025-10-01 to 2025-12-31), compare the Tigerline and Reef regions on both Golden Yield and on units shipped via Combo pallets through Dine-In fulfillment.",expected_values,metric;multihop;xschema2;temporal,,,"{""nums"": [0.96, 0.962, 729, 521]}",,
Q14,"Which region had the higher True Pass Rate on Heat Lamp tests in Q4 2025, excluding Short Order tickets — Tigerline or Reef?",expected_values,metric;multihop;xschema2,,,"{""nums"": [0.972, 0.882]}",,
Q15,"For Nimbus-family shipments that went Dine-In in the last 60 days (2025-11-02 to 2025-12-31), what share of shipped units rode on Combo pallets, by region?",expected_values,metric;multihop;xschema2;temporal,,,"{""nums"": [0.355, 0.12]}",,
Q16,"How many patties were plated on WARM lines, company-wide, broken down by drive family?",expected_values,xschema2;multihop,,,"{""nums"": [1751, 3017]}",,
Q17,What was the Golden Yield for the Vantage drive family in Q4 2025 (2025-10-01 to 2025-12-31)?,expected_values,metric;xschema2,,,"{""nums"": [0.951]}",,
Q18,"For the Nimbus family in Q4 2025, how many Combo-pallet Dine-In units did the Tigerline and Reef regions each ship, and what was each region's Golden Yield over the same window?",expected_values,metric;multihop;xschema2,,,"{""nums"": [175, 151, 0.96, 0.962]}",,
Q19,"How many platters were consumed plating Vantage drives in Q4 2025 (2025-10-01 to 2025-12-31)? [capability: xschema3, bridge]",expected_values,xschema3;bridge,,,"{""nums"": [14300]}",,
Q20,"How many platters were consumed plating each drive family in December 2025? [capability: xschema3, bridge]",expected_values,xschema3;bridge,,,"{""nums"": [5124, 4380, 1878, 1048]}",,
Q21,"How many patties were plated on Tundra-family WARM lines? [capability: negative, xschema2]",expected_values,negative;xschema2,,,"{""zero"": true}",,
Q22,How many patties were plated during the Diner Week of 2025-12-24 to 2025-12-30? [capability: temporal],expected_values,temporal,,,"{""nums"": [378]}",,
Q23,How many patties were 86'd company-wide in Q4 2025? [capability: distractor],expected_values,distractor,,,"{""nums"": [228]}",,
Q24,"At Tigerline Point, what is the True Pass Rate on Taste Test versus Heat Lamp tests? [capability: metric, multihop]",expected_values,metric;multihop,,,"{""nums"": [0.922, 0.935]}",,
Q25,Which drive family has the highest average drive capacity? [capability: slang],expected_values,slang,,,"{""names"": [""Vantage""]}",,
Q26,"How many platters were consumed plating STANDARD-ticket Cobalt drives during 2025? [capability: golden, xschema3, bridge]",expected_values,golden;xschema3;bridge,,,"{""nums"": [32084]}",,
Q27,What is the company-wide Supply Reliability for critical components? [capability: metric],expected_values,metric,,,"{""nums"": [0.469]}",,
Q28,"Standard report: total plated units by drive family and line status. [capability: viewable, xschema2]",expected_values,viewable;xschema2,,,"{""nums"": [3704, 1751, 3199, 3098, 1513, 3017]}",,
Q29,"What is the Supply Reliability of the Firmware Image component? [capability: trap, metric]",expected_values,trap;metric,,,"{""trap"": true}",,
Q30,"For the Nimbus family in the last fiscal quarter, how many Combo-pallet Dine-In units did the Tigerline and Reef regions each ship, and what was each region's Golden Yield? [capability: temporal, multihop]",expected_values,temporal;multihop,,,"{""nums"": [175, 151, 0.96, 0.962]}",,
